"key","value"
"home.header.nav.about","Giới thiệu"
"home.header.nav.programs","Chương trình"
"home.header.nav.activities","Hoạt động"
"home.header.nav.news","Tin tức & Sự kiện"
"home.header.nav.contact","Liên hệ"
"home.header.topBar.hotlineLabel","Hotline:"
"home.header.topBar.hotlineNumber","093 849 1111"
"home.header.topBar.tiktokLabel","TikTok"
"home.header.topBar.facebookLabel","Facebook"
"home.header.topBar.zaloLabel","Zalo"
"home.header.topBar.tiktokUrl","https://www.tiktok.com/@vt.nguyenthidiep.sige"
"home.header.topBar.facebookUrl","https://www.facebook.com/VienKhoaHocGiaoDucToanCau"
"home.header.topBar.zaloUrl","https://zalo.me"
"home.header.links.activitiesUrl","https://sige.edu.vn/"
"home.header.links.newsUrl","https://sige.edu.vn/"
"home.header.ctaText","Đăng ký ngay"
"home.header.mobileCtaText","Đăng ký tư vấn miễn phí"
"home.heroSlides.0.id","1"
"home.heroSlides.0.badge","Hành trình tương lai bắt đầu từ đây"
"home.heroSlides.0.title","DU HỌC ĐÀI LOAN"
"home.heroSlides.0.subtitle","LÀM VIỆC NGAY TRONG QUÁ TRÌNH HỌC"
"home.heroSlides.0.description","Cùng Viện Khoa Học Giáo Dục Toàn Cầu SIGE kiến tạo tương lai vững chắc."
"home.heroSlides.0.features","[""Nhận học bổng, hỗ trợ chi phí"",""Thực tập tại doanh nghiệp công nghệ"",""Lộ trình nghề nghiệp rõ ràng sau tốt nghiệp""]"
"home.heroSlides.0.buttonText","Đăng ký tư vấn miễn phí"
"home.heroSlides.0.buttonLink","#lien-he"
"home.heroSlides.0.image","/Hero_section.png"
"home.heroSlides.1.id","2"
"home.heroSlides.1.badge","Đầu tư tiết kiệm, sinh lời tương lai"
"home.heroSlides.1.title","DU HỌC CHI PHÍ THẤP"
"home.heroSlides.1.subtitle","CƠ HỘI VIỆC LÀM CAO"
"home.heroSlides.1.description","Giải pháp tài chính tối ưu cho giấc mơ du học của bạn."
"home.heroSlides.1.features","[""Chỉ từ 36 triệu ban đầu"",""Vừa học vừa làm – tích lũy thu nhập"",""Hỗ trợ xuyên suốt từ Việt Nam đến Đài Loan""]"
"home.heroSlides.1.buttonText","Nhận thông tin ngay"
"home.heroSlides.1.buttonLink","#lien-he"
"home.heroSlides.1.image","/assets/students/graduation.jpg"
"home.heroSlides.2.id","3"
"home.heroSlides.2.badge","Hỗ trợ tận tâm"
"home.heroSlides.2.title","TƯ VẤN DU HỌC MIỄN PHÍ"
"home.heroSlides.2.subtitle","ĐỒNG HÀNH CÙNG BẠN"
"home.heroSlides.2.description","Đội ngũ chuyên gia SIGE luôn sẵn sàng giải đáp mọi thắc mắc."
"home.heroSlides.2.features","[""Hotline 24/7: 093 849 1111"",""Hỗ trợ toàn diện qua Fanpage"",""Định hướng lộ trình cá nhân hóa""]"
"home.heroSlides.2.buttonText","Liên hệ ngay"
"home.heroSlides.2.buttonLink","#lien-he"
"home.heroSlides.2.image","/assets/orientation/orientation-1.jpg"
"home.programs.badge","Chương trình du học"
"home.programs.title","Khám phá các chương trình du học"
"home.programs.description","Các chương trình du học đang tuyển sinh — hợp tác cùng các trường đại học uy tín"
"home.differentiators.badge","Tại sao chọn SIGE"
"home.differentiators.title","Điều tạo nên sự khác biệt"
"home.differentiators.description","Không chỉ là tư vấn — chúng tôi kiến tạo hệ sinh thái toàn diện để nâng bước giấc mơ du học của bạn"
"home.differentiators.items","[{""title"":""Đội ngũ chuyên môn cao"",""lead"":""Nhiều năm kinh nghiệm làm việc trực tiếp với các trường Đại học và Doanh nghiệp Đài Loan, luôn sẵn lòng định hướng đúng đắn cho từng sinh viên."",""body"":""Đội ngũ tư vấn của SIGE bao gồm các chuyên gia đã từng du học và làm việc lâu năm tại Đài Loan, hiểu rõ môi trường học thuật và văn hóa địa phương. Chúng tôi không chỉ tư vấn mà còn đồng hành sát sao trong suốt hành trình học tập của bạn.""},{""title"":""Học bổng độc quyền"",""lead"":""SIGE liên tục đàm phán để mang về những gói học bổng toàn phần hoặc bán phần độc quyền, tài trợ trực tiếp từ đối tác Đài Loan."",""body"":""Với mạng lưới hơn 50 trường đại học đối tác, chúng tôi có khả năng đàm phán các suất học bổng đặc biệt mà bạn không thể tìm thấy ở bất kỳ đơn vị nào khác. Nhiều sinh viên SIGE đã nhận học bổng lên đến 100% học phí.""},{""title"":""Hỗ trợ toàn diện"",""lead"":""Từ rèn luyện ngôn ngữ, định hướng văn hóa cho tới hỗ trợ trực tiếp khi bạn đã đặt chân sang Đài Loan học tập và đi làm thêm."",""body"":""SIGE là đơn vị duy nhất có 3 văn phòng tại Đài Loan (Đài Bắc, Đào Viên, Cao Hùng) để hỗ trợ sinh viên ngay tại chỗ. Từ việc tìm chỗ ở, mở tài khoản ngân hàng, đến hỗ trợ xin việc làm thêm — chúng tôi luôn ở bên bạn.""}]"
"home.services.badge","Dịch vụ"
"home.services.title","SIGE đang hỗ trợ những chương trình gì"
"home.services.description","Chúng tôi cung cấp các dịch vụ toàn diện để hỗ trợ bạn thành công"
"home.services.featured.title","Thông tin học bổng"
